id,type,label,sub,description,amount,icon,eventScene,weight,enabled
event-001,event,夢のタネ,発見,小さな気づきが未来を動かします,9000,🌱,,1,true
event-002,event,朝のひらめき,いいこと,新しいアイデアが浮かびました,6000,💡,,1,true
event-003,event,街角の出会い,いいこと,思いがけない出会いがありました,8000,🌼,,1,true
event-004,event,古本屋の掘り出し物,趣味,価値ある一冊を見つけました,5000,📚,,1,true
event-005,event,週末の写真,思い出,素敵な景色を写真に残しました,3000,📷,,1,true
event-006,event,朝市のおすそ分け,いいこと,近所の人から旬の味をもらいました,4000,🥕,,1,true
event-007,event,応援メッセージ,仲間,友人から励ましが届きました,7000,💌,friends,1,true
event-008,event,趣味の時間,いいこと,好きなことに夢中になりました,7000,🎸,,1,true
event-009,event,手作りアクセサリー,作品,作品が気に入られました,11000,💎,,1,true
event-010,event,初めての発表,挑戦,勇気を出して発表しました,14000,🎤,success,1,true
event-011,event,朝のランニング,健康,体を動かして元気になりました,5000,🏃,,1,true
event-012,event,料理教室,学び,新しい料理の腕が上がりました,9000,🍳,,1,true
event-013,event,地域のお祭り,思い出,町のみんなと楽しい時間を過ごしました,8000,🎪,,1,true
event-014,event,花壇の手入れ,いいこと,育てた花がきれいに咲きました,4000,🌷,,1,true
event-015,event,読書会の仲間,仲間,気の合う友人が増えました,10000,🤝,friends,1,true
event-016,event,オンライン講座,学び,役立つ知識を身につけました,-6000,💻,,1,true
event-017,event,資格の勉強,自己投資,将来のために学びました,-9000,📝,,1,true
event-018,event,資格試験に合格,チャンス,努力が実を結びました,22000,🏅,success,1,true
event-019,event,思いがけない修理,出費,家の設備が急に壊れました,-14000,🔧,repair,1,true
event-020,event,友人の助け,いいこと,困ったときに助けてもらいました,12000,🤝,friends,1.2,true
event-021,event,憧れのマイカー,大きな買い物,新しい車で人生の景色が変わります,-30000,🏎,car,0.8,true
event-022,event,家具を新調,大きな買い物,暮らしを快適に整えました,-18000,🛋,,1,true
event-023,event,引っ越し準備,住まい,新しい暮らしの準備を始めました,-12000,📦,,1,true
event-024,event,マイホーム計画,夢の住まい,夢の家に向けて一歩進みました,-16000,🏠,home,0.8,true
event-025,event,庭の野菜,いいこと,家庭菜園の収穫がありました,9000,🥬,,1,true
event-026,event,家族の食卓,しあわせ,みんなで食卓を囲みました,8000,🍲,,1,true
event-027,event,ペットとの出会い,家族,新しい家族を迎えました,-15000,🐶,,0.8,true
event-028,event,子どもの絵,家族,成長の記録が宝物になりました,6000,🎨,,1,true
event-029,event,近所の相談役,仲間,頼られる存在になりました,7000,🫶,friends,1,true
event-030,event,休日の小旅行,思い出,新しい場所を訪れました,-10000,🗺,,1,true
event-031,event,温泉でひと休み,思い出,心と体をゆっくり休めました,-8000,♨️,,1,true
